species,process,initial_charge,final_charge,charge_state,degree,n_features,ne_min,ne_max,Te_min,Te_max,Ti_min,Ti_max,n0_by_ne,intercept,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,r2_score,mae_percent,max_error_percent
Ar,fZ,1,1,1,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,0.001,-18.83395658361974,0.0,-0.2192550449184394,-6.2043167143030855,0.7605583124635165,0.021945011446966617,4.55745282254799,0.13266128154089596,0.29541179671069445,0.16626881302594138,-1.5000558506654607,0.9117628292428895,0.0013760855037392825,0.08519395310666172
Ar,fZ,1,1,1,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,0.01,-15.182237644087742,0.0,-0.03715717980523015,-9.547533620279076,3.626878161547951,-0.052653398707676755,3.460926018386,0.7455761633792843,0.10875794078508418,-0.04996747252630874,-0.48612814879410726,0.9775295818935107,0.6403137259276875,80.09164714711213
Ar,fZ,1,1,1,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,0.09999999999999999,-7.397419376380207,0.0,0.0012811739477776674,-5.501006780056979,3.963778297698475,-0.00015860890667896752,1.5181184131727206,-0.28626436059293453,-0.0006609802276456135,-0.01857157846020377,2.4523849694284814,0.9972415279964598,0.5729078199004087,16.583715321649183
Ar,fZ,1,1,1,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,1.0,-1.891192733359138,0.0,-0.0007076865970093003,-2.02032506054147,1.8678627808795993,-0.0016508196305834487,0.7187308870733172,-0.22404964312282494,0.00444858958851637,-0.015828614461929277,1.1877687427377506,0.9891782408089752,1.7233209071497884,29.634533885700847
Ar,fZ,1,1,1,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,10.0,-0.43162870751759774,0.0,0.005346282382612756,0.140358127605609,-0.11471833661494595,-0.0012350567730670544,-0.2722826805756285,-0.2725805709637332,-0.0031936040098210013,-0.018652813399755382,0.8066016923798954,0.7654668465103811,3.7178453649161494,13.175958074615313
Ar,fZ,1,1,1,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,100.0,-1.981653657359086,0.0,0.0034452337624378444,0.7812017404466471,-1.1165008788196928,-0.00030376694113035,-0.5351420420608427,-0.014487902832027432,-0.0013170097739947353,-0.003446197106687334,0.02478281662461248,0.9911847155769137,0.8598757878812778,3.9887182656633327
Ar,fZ,1,1,1,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,1000.0,-4.264679599445146,0.0,0.0033406333266841216,0.7971863695606823,-1.1457713408520838,-0.00025736184396354657,-0.5409995685354652,0.0003140339565545495,-0.0008637956634324599,-0.0032814836992107587,-0.004336213558648056,0.9922376337357054,0.13382472530802217,0.8338670896229201
Ar,fZ,2,2,2,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,1e-06,-17.75346609519467,0.0,-0.3531308967647639,-7.917892500871947,-0.05738609318823363,-0.017148564572424477,5.8856640225047325,-0.030323569155397,0.51876522921103,0.08070163028999962,0.006692601658920893,0.9054886855607153,0.029828498065417982,1.3064555977267578
Ar,fZ,2,2,2,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,9.999999999999999e-06,-17.709377014310018,0.0,-0.3509577534389014,-7.98453163675677,-0.01800833727961993,-0.015241771127402225,5.888708020949657,-0.018205998580392315,0.5142214831672357,0.07633395648577736,-0.06198601565351379,0.908727836544843,0.028755083491441232,1.4053221638554874
Ar,fZ,2,2,2,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,9.999999999999999e-05,-17.41272439418265,0.0,-0.3166736072819882,-8.441119782015333,0.2162439772424027,-0.004547325131589892,5.896303806937216,0.04484138101969238,0.4557751435480408,0.09035941194360167,-0.45693800496651277,0.9278877677076387,0.03600351349907202,6.251290136129664
Ar,fZ,2,2,2,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,0.001,-16.096912305350784,0.0,-0.14379946975982472,-10.397748439392277,1.3284760082458584,-0.01906133662240003,5.356179003174069,0.276013932446351,0.23770128774830374,0.14912444865418234,-1.6262396472086678,0.9728455978144601,0.8374252198021601,76.15722745505299
Ar,fZ,2,2,2,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,0.01,-11.459019833882223,0.0,0.004941838223804465,-10.390838832212633,4.601907676257445,-0.020088629721011497,2.045726083831454,0.1314965736012909,0.09560846008202753,-0.06784637580851002,2.8970560601634134,0.9912362269483536,1.3718588114821482,36.75973743558186
Ar,fZ,2,2,2,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,0.09999999999999999,-4.185370743581157,0.0,0.005309940230732476,-4.466578235278608,2.871614085781173,-0.00047801807905734463,0.9479257957529404,-0.2924382156774687,-0.0016756999027905332,-0.02229209717471558,2.4103657470510846,0.9917517186955491,1.9425736000972285,44.24842702204365
Ar,fZ,2,2,2,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,1.0,-1.1480351075398312,0.0,0.011505610080588497,-0.4728930057060941,0.6458177366103107,-0.005327999704659144,-0.31364475152775567,-0.27719457827197785,0.0023926920464405832,-0.036167855581201516,1.6324862043485155,0.8030304372442445,5.659978203042111,21.583508715444662
